image_id,candidate_rank,status,matched_boxes,selected_for_analysis
1271,1,success,33,False
58,2,success,90,True
810,3,success,50,True
236,4,success,66,False
1303,5,success,40,True
343,6,success,9,True
936,7,success,127,True
1075,8,success,26,False
484,9,success,79,False
716,10,success,18,False
950,11,success,59,True
100,12,success,48,True
67,13,success,43,False
627,14,success,64,True
576,15,success,31,False
853,16,success,33,True
650,17,success,100,True
1057,18,success,85,True
3,19,success,85,False
296,20,success,31,False
977,21,success,39,True
809,22,success,64,True
538,23,success,50,True
449,24,success,20,False
270,25,success,29,True
763,26,success,67,True
783,27,success,96,True
801,28,success,90,True
1224,29,success,117,True
186,30,success,41,True
759,31,success,41,True
942,32,success,159,False
1031,33,success,70,True
466,34,success,61,False
1094,35,success,44,True
492,36,success,108,False
279,37,success,59,True
378,38,success,45,True
48,39,success,19,True
851,40,success,78,True
626,41,success,27,False
472,42,success,52,True
248,43,success,64,False
118,44,success,17,False
1337,45,success,1,True
160,46,success,21,True
435,47,success,33,True
92,48,success,80,True
1124,49,success,23,True
1323,50,success,99,True
590,51,success,40,True
508,52,success,82,True
881,53,no_matched_positive,0,False
59,54,success,51,True
1129,55,success,63,False
873,56,success,51,True
94,57,success,40,False
848,58,success,38,True
1326,59,success,76,True
907,60,success,48,True
1060,61,success,62,True
1176,62,success,74,True
264,63,success,30,True
669,64,success,15,False
96,65,success,25,True
1019,66,success,27,True
172,67,success,62,False
844,68,success,57,True
1363,69,success,64,False
493,70,success,27,True
1,71,success,144,False
93,72,success,39,True
157,73,success,62,False
1210,74,success,41,False
1177,75,success,77,False
867,76,success,44,False
1039,77,success,71,False
1272,78,success,66,True
1278,79,success,31,True
260,80,success,50,True
396,81,success,62,True
824,82,success,59,False
329,83,success,59,True
422,84,success,49,False
26,85,success,38,True
251,86,success,60,False
151,87,success,54,True
990,88,success,18,True
1003,89,success,41,True
652,90,success,16,True
223,91,success,48,True
523,92,success,10,True
893,93,success,79,False
695,94,success,18,True
1269,95,success,54,True
262,96,success,109,True
