batch,image_id,candidate_rank,density_group,domain,growth_stage,parameter_group,module,component,group_level,parameter_tensors,parameters,matched_boxes,standard_loss,reweighted_loss,ugdr_loss,beta,standard_norm,ugdr_norm,ugdr_to_standard_norm_ratio,standard_ugdr_cosine,standard_ugdr_relative_difference,reweighted_norm,reweighted_ugdr_cosine,uncertainty_term_norm,uncertainty_term_fraction_of_ugdr,used_parameter_tensors,selection_rank
976,977,21,30-40,UQ_11,Post-Flowering,ASWB,ASWB,All,module,24,801634,39,1.0479538440704346,0.8777759075164795,0.8777759075164795,0.611875,0.03965185582637787,0.02544507011771202,0.641711950302124,0.9021751284599304,0.503905713558197,0.03325403109192848,0.9039410948753357,0.014951272867619991,0.5875901618055508,18,1
976,977,21,30-40,UQ_11,Post-Flowering,ASWB/Feed-forward,ASWB,Feed-forward,component,8,526592,39,1.0479538440704346,0.8777759075164795,0.8777759075164795,0.611875,0.012042957358062267,0.00830103550106287,0.6892854571342468,0.9410010576248169,0.4217555820941925,0.01011116523295641,0.9419112801551819,0.003609391860663891,0.434812242424664,8,1
976,977,21,30-40,UQ_11,Post-Flowering,ASWB/Parameter generator,ASWB,Parameter generator,component,4,8290,39,1.0479538440704346,0.8777759075164795,0.8777759075164795,0.611875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
976,977,21,30-40,UQ_11,Post-Flowering,ASWB/Self-modulation,ASWB,Self-modulation,component,2,512,39,1.0479538440704346,0.8777759075164795,0.8777759075164795,0.611875,0.02167101763188839,0.014189793728291988,0.6547820568084717,0.9142976999282837,0.4810488820075989,0.018175460398197174,0.9156721830368042,0.00770602747797966,0.5430683225940894,2,1
976,977,21,30-40,UQ_11,Post-Flowering,ASWB/Wave propagation,ASWB,Wave propagation,component,10,266240,39,1.0479538440704346,0.8777759075164795,0.8777759075164795,0.611875,0.030945174396038055,0.01942148432135582,0.6276094913482666,0.8902150392532349,0.5258126258850098,0.02594701573252678,0.8922989368438721,0.012293494306504726,0.6329842818958399,8,1
976,977,21,30-40,UQ_11,Post-Flowering,Decoder,Decoder,All,module,119,4348539,39,1.0479538440704346,0.8777759075164795,0.8777759075164795,0.611875,0.8753954768180847,1.0200306177139282,1.1652226448059082,0.9693232178688049,0.31430718302726746,0.7351527214050293,0.9693792462348938,0.35648176074028015,0.3494814317821359,83,1
976,977,21,30-40,UQ_11,Post-Flowering,Decoder/Detection decoder,Decoder,Detection decoder,component,119,4348539,39,1.0479538440704346,0.8777759075164795,0.8777759075164795,0.611875,0.8753954768180847,1.0200306177139282,1.1652226448059082,0.9693232178688049,0.31430718302726746,0.7351527214050293,0.9693792462348938,0.35648176074028015,0.3494814317821359,83,1
976,977,21,30-40,UQ_11,Post-Flowering,MSIA,MSIA,All,module,16,461568,39,1.0479538440704346,0.8777759075164795,0.8777759075164795,0.611875,0.0450826995074749,0.0427510067820549,0.9482796788215637,0.9453123807907104,0.32617977261543274,0.037705738097429276,0.9451155662536621,0.01422665175050497,0.3327793383447692,16,1
976,977,21,30-40,UQ_11,Post-Flowering,MSIA/Hypergraph interaction,MSIA,Hypergraph interaction,component,4,66304,39,1.0479538440704346,0.8777759075164795,0.8777759075164795,0.611875,0.024449339136481285,0.023049747571349144,0.9427554607391357,0.9510703086853027,0.3090861737728119,0.020482312887907028,0.9505066871643066,0.0073023648001253605,0.3168088838075696,4,1
976,977,21,30-40,UQ_11,Post-Flowering,MSIA/Semantic collection,MSIA,Semantic collection,component,3,197120,39,1.0479538440704346,0.8777759075164795,0.8777759075164795,0.611875,0.023196887224912643,0.0212692953646183,0.916903018951416,0.9473745226860046,0.32157430052757263,0.01937713287770748,0.9470034241676331,0.00687489053234458,0.323230761268238,3,1
976,977,21,30-40,UQ_11,Post-Flowering,MSIA/Semantic scattering,MSIA,Semantic scattering,component,9,198144,39,1.0479538440704346,0.8777759075164795,0.8777759075164795,0.611875,0.029943006113171577,0.029051242396235466,0.9702179431915283,0.9409737586975098,0.339740514755249,0.025034461170434952,0.9410995841026306,0.01009004283696413,0.34731880651932545,9,1
850,851,40,70-80,KSU_3,Filling,ASWB,ASWB,All,module,24,801634,78,1.1985338926315308,1.024561882019043,1.024561882019043,0.611875,0.0673271045088768,0.08032537996768951,1.1930615901947021,0.9676339626312256,0.33838143944740295,0.057699259370565414,0.9629613161087036,0.029245004057884216,0.3640817394159589,18,2
850,851,40,70-80,KSU_3,Filling,ASWB/Feed-forward,ASWB,Feed-forward,component,8,526592,78,1.1985338926315308,1.024561882019043,1.024561882019043,0.611875,0.020660094916820526,0.024462074041366577,1.1840252876281738,0.9780430197715759,0.2930198907852173,0.01768973469734192,0.975023627281189,0.008214655332267284,0.33581189061793765,8,2
850,851,40,70-80,KSU_3,Filling,ASWB/Parameter generator,ASWB,Parameter generator,component,4,8290,78,1.1985338926315308,1.024561882019043,1.024561882019043,0.611875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
850,851,40,70-80,KSU_3,Filling,ASWB/Self-modulation,ASWB,Self-modulation,component,2,512,78,1.1985338926315308,1.024561882019043,1.024561882019043,0.611875,0.03306451439857483,0.0397963710129261,1.2035976648330688,0.9640095233917236,0.3578933775424957,0.028321383520960808,0.9585480093955994,0.015003838576376438,0.3770152452218093,2,2
850,851,40,70-80,KSU_3,Filling,ASWB/Wave propagation,ASWB,Wave propagation,component,10,266240,78,1.1985338926315308,1.024561882019043,1.024561882019043,0.611875,0.054889317601919174,0.0653454139828682,1.190494179725647,0.9675168395042419,0.3370903730392456,0.04705504700541496,0.9629024863243103,0.023720763623714447,0.36300578996918426,8,2
850,851,40,70-80,KSU_3,Filling,Decoder,Decoder,All,module,119,4348539,78,1.1985338926315308,1.024561882019043,1.024561882019043,0.611875,1.065085530281067,1.195669174194336,1.1226038932800293,0.9850433468818665,0.22048190236091614,0.9150421023368835,0.9841854572296143,0.33668479323387146,0.2815869142572283,83,2
850,851,40,70-80,KSU_3,Filling,Decoder/Detection decoder,Decoder,Detection decoder,component,119,4348539,78,1.1985338926315308,1.024561882019043,1.024561882019043,0.611875,1.065085530281067,1.195669174194336,1.1226038932800293,0.9850433468818665,0.22048190236091614,0.9150421023368835,0.9841854572296143,0.33668479323387146,0.2815869142572283,83,2
850,851,40,70-80,KSU_3,Filling,MSIA,MSIA,All,module,16,461568,78,1.1985338926315308,1.024561882019043,1.024561882019043,0.611875,0.05293534696102142,0.05653694272041321,1.0680376291275024,0.9810585379600525,0.21234339475631714,0.04494300112128258,0.9797927141189575,0.015398409217596054,0.2723601326259248,16,2
