image_id,file_name,instances,density_group,density_source,domain,domain_source,growth_stage,stage_source,mean_instance_occlusion,occlusion_group,selection_phase,selection_rank,selection_stratum,matched_boxes
977,bb8161ed883e05ea4c879668c02e0dafbfb72c75fcec44cd2f33fa58487caf6c.png,39,30-40,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.008194549910446797,Low (<10%),marginal_group_coverage,1,UQ_11 | 30-40 | Post-Flowering,39
851,a398c60d4a03c68cfa79f7a50de846b7d2f5da56ed27533e05bcb2c19ec3fb5b.png,78,70-80,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.3671292441208159,High (>30%),marginal_group_coverage,2,KSU_3 | 70-80 | Filling,78
936,b320f9f3b341ac6bbcf3e30cd53450adf92637a95f2b03e8f43fac1e970d1640.png,127,>100,authoritative_subset_annotations,UQ_8,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.11629113507268499,Medium (10-30%),marginal_group_coverage,3,UQ_8 | >100 | Ripening,127
801,99171365a43884b9a4ab51de47187f3825decbbf2a5d8076fcac6d77dbb686b7.png,90,80-100,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.11498438481880685,Medium (10-30%),marginal_group_coverage,4,UQ_10 | 80-100 | Filling-Ripening,90
844,a220e591681c7236f18757cfbf85818261c1d2085fbf6931c5e5c7d0f345f34a.png,57,50-60,authoritative_subset_annotations,Ukyoto_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.17603994975946585,Medium (10-30%),marginal_group_coverage,5,Ukyoto_1 | 50-60 | Post-Flowering,57
160,1ceffde8e25265825dad91a152fcfe8fb34e174b2977ea0f0ed2dd0111b9c49a.png,21,20-30,authoritative_subset_annotations,NAU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.06350273543379235,Low (<10%),marginal_group_coverage,6,NAU_2 | 20-30 | Post-Flowering,21
759,91a1ae548c3f81fc4b18e3493d7d5ff9d501bff53b31d450c88e888caa844c7b.png,41,40-50,authoritative_subset_annotations,NAU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.044029270448974284,Low (<10%),marginal_group_coverage,7,NAU_3 | 40-50 | Filling,41
1272,ef3eebc3a59029f75f47651df382b62b9bee6c46450a64388d63ea6c08ddce6a.png,66,60-70,authoritative_subset_annotations,KSU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.059019731246649644,Low (<10%),marginal_group_coverage,8,KSU_2 | 60-70 | Post-Flowering,66
523,64ec942049b0e344b264261fa56d9480d13b81a1533ca6dcdcc54da9cc2a8a22.png,10,10-20,authoritative_subset_annotations,CIMMYT_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0,Low (<10%),marginal_group_coverage,9,CIMMYT_1 | 10-20 | Post-Flowering,10
1337,f918e1d99105d7ab59246ab1e2bdf2a47dedfc8f51180580168652ec6d0223c9.png,1,0-10,authoritative_subset_annotations,Terraref_2,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.0,Low (<10%),marginal_group_coverage,10,Terraref_2 | 0-10 | Filling,1
853,a3bd5347349a3b694b5c1c0ab968321d2158ff676855722fa84cda3f00142dcc.png,33,30-40,authoritative_subset_annotations,CIMMYT_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0,Low (<10%),marginal_group_coverage,11,CIMMYT_2 | 30-40 | Post-Flowering,33
848,a2bbc0c13317f4d9b68c06fa6a1b9f955583f16d5f81bcdfa720f57e587b247e.png,38,30-40,authoritative_subset_annotations,UQ_9,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.16220350762107016,Medium (10-30%),marginal_group_coverage,12,UQ_9 | 30-40 | Filling-Ripening,38
96,11fad8b91a3ae8b9d61949897ffe085769904c76e13c20061b56244f9e2a45e6.png,25,20-30,authoritative_subset_annotations,KSU_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.06258690833296286,Low (<10%),marginal_group_coverage,13,KSU_1 | 20-30 | Post-Flowering,25
1019,c2dbdd7dac69f047654ef8d88761652babb22d379a02507d5463034284e0c3a6.png,27,20-30,authoritative_subset_annotations,KSU_4,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.11795985800584242,Medium (10-30%),marginal_group_coverage,14,KSU_4 | 20-30 | Ripening,27
1057,c913c2d5732269bda42e314c653e39ec7060a398e09669368536740210eab588.png,85,80-100,authoritative_subset_annotations,UQ_7,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.0862843604029386,Low (<10%),marginal_group_coverage,15,UQ_7 | 80-100 | Ripening,85
1303,f396bf5c9b1bc884ab843338d88c7fd2c7733ee0610fede3607bfaeb3eecf8cd.png,40,40-50,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.02266673618716867,Low (<10%),marginal_group_coverage,16,Terraref_1 | 40-50 | Ripening,40
93,11c9041ada394ddd15820bdb11871396b8f4583d647d21916dad92c50631e3a8.png,39,30-40,authoritative_subset_annotations,CIMMYT_3,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.00742091159032559,Low (<10%),marginal_group_coverage,17,CIMMYT_3 | 30-40 | Post-Flowering,39
810,9a89c5fc7dd18e9da767cc0e410b6ae10c989861c0058078ef59de0f1413e62b.png,50,50-60,authoritative_subset_annotations,ARC_1,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.08327009663042327,Low (<10%),marginal_group_coverage,18,ARC_1 | 50-60 | Filling,50
1060,c9e70ffb0c261c71e09485fb98f28d39b837683b3195bcb32a8e743f123f89da.png,62,60-70,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.04320814549055642,Low (<10%),joint_stratum_round_robin,19,Terraref_1 | 60-70 | Ripening,62
329,39ac604c18b5c20a5146fde05f20951a1fdfb12792b519b333c1ddb69176c5e7.png,59,50-60,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.06078268692314941,Low (<10%),joint_stratum_round_robin,20,UQ_11 | 50-60 | Post-Flowering,59
907,ad0d94309c53fab42484e0c3c5f83ac1e56cb5dd2f9d4305169bb8c72cf2bcb8.png,48,40-50,authoritative_subset_annotations,Ukyoto_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.13770670205383198,Medium (10-30%),joint_stratum_round_robin,21,Ukyoto_1 | 40-50 | Post-Flowering,48
493,5ed60d5ae36e37cb75d6bd7fce12ac78f9fbe648de5db839c2507c9ce3540c89.png,27,20-30,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.10347735809839602,Medium (10-30%),joint_stratum_round_robin,22,UQ_11 | 20-30 | Post-Flowering,27
1278,f03156578d848954e8fce13b8f00e814149a70616f1852e845d4b79f5a385713.png,31,30-40,authoritative_subset_annotations,CIMMYT_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.03464657879485114,Low (<10%),joint_stratum_round_robin,23,CIMMYT_2 | 30-40 | Post-Flowering,31
270,3005d16e759a05db093de79140b12b3e0b59d46c39f10ceb9eadbc04d1e0f1f6.png,29,20-30,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.1018621098057551,Medium (10-30%),joint_stratum_round_robin,24,KSU_3 | 20-30 | Filling,29
508,61d9ad2002e4f17842d08728cb07b131277a957a9f6a19dcb3efe60f4164bb26.png,82,80-100,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.0012616616689480884,Low (<10%),joint_stratum_round_robin,25,KSU_3 | 80-100 | Filling,82
92,11944b36d9fda4c21a7203421dd4a0de61b9d9a8c8448d3418dea4e28c31450a.png,80,80-100,authoritative_subset_annotations,NAU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.06993234837314997,Low (<10%),joint_stratum_round_robin,26,NAU_3 | 80-100 | Filling,80
59,0af5c1bc753619e4f5d504e5424d056af22954f04d50cd0d4a21682cfdd9a4dc.png,55,50-60,authoritative_subset_annotations,CIMMYT_3,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.08591213905091168,Low (<10%),joint_stratum_round_robin,27,CIMMYT_3 | 50-60 | Post-Flowering,51
58,0aa03405bc8a993d4b9b661f4564d8465f020aa1bb7b2d8994baa734f18cfa8a.png,90,80-100,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.1284326295868071,Medium (10-30%),joint_stratum_round_robin,28,UQ_10 | 80-100 | Filling-Ripening,90
26,051e6cd0159e61164455b5f1a79014c07f251bf4b8ecae3bfe488d4a1ebdd43e.png,38,30-40,authoritative_subset_annotations,CIMMYT_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.11732850163321831,Medium (10-30%),joint_stratum_round_robin,29,CIMMYT_1 | 30-40 | Post-Flowering,38
1003,bf79241a18c9c7c0225f5b025cd1d209bad4e957789207cf1885359793b4f3ab.png,41,40-50,authoritative_subset_annotations,KSU_4,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.006478117795052122,Low (<10%),joint_stratum_round_robin,30,KSU_4 | 40-50 | Ripening,41
100,12c14f1e8a325bca721548ea06d4d00e4ae9d80b8b0dd24841d63a4abcb86aa4.png,48,40-50,authoritative_subset_annotations,CIMMYT_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0337452177121263,Low (<10%),joint_stratum_round_robin,31,CIMMYT_1 | 40-50 | Post-Flowering,48
950,b522035f3cba03dbedbae313148c4a925fd7d76b0dba9ba5496fdc251fc5e773.png,59,50-60,authoritative_subset_annotations,KSU_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.09008772166402192,Low (<10%),joint_stratum_round_robin,32,KSU_1 | 50-60 | Post-Flowering,59
1323,f674ddf815f4be5e36b4bf4905559562630da66d37cfb70c3aadf9563ff7e638.png,99,80-100,authoritative_subset_annotations,UQ_7,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.17865706961537364,Medium (10-30%),joint_stratum_round_robin,33,UQ_7 | 80-100 | Ripening,99
1326,f6ad84a7559f46204cf40d3df1962b50738ddb5d6cc4ee35f461b265b3d6d021.png,76,70-80,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.11644605901175777,Medium (10-30%),joint_stratum_round_robin,34,UQ_10 | 70-80 | Filling-Ripening,76
435,52fe0e7e01ad112fabecb3d1269e58a91929a866fb93028a6c9b5d7ab393ae8c.png,33,30-40,authoritative_subset_annotations,Terraref_2,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.04942989560109619,Low (<10%),joint_stratum_round_robin,35,Terraref_2 | 30-40 | Filling,33
260,2e85f5b480dbb7d0e698d3d139fc493e6e52988c3a389e1a806a20bc004d2506.png,50,50-60,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.03292089879571261,Low (<10%),joint_stratum_round_robin,36,UQ_10 | 50-60 | Filling-Ripening,50
990,bd94d47898d8e795d0e0139c4de9cbcb9c5461018cb14a4f91c9f28b238feece.png,18,10-20,authoritative_subset_annotations,Terraref_2,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.028794406729319284,Low (<10%),joint_stratum_round_robin,37,Terraref_2 | 10-20 | Filling,18
809,9a65adae31802d7d91cc498b5fd2659080a7da9110aefe13bf822818473f8c03.png,64,60-70,authoritative_subset_annotations,KSU_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.17628626429131433,Medium (10-30%),joint_stratum_round_robin,38,KSU_1 | 60-70 | Post-Flowering,64
873,a78f889b83294e2bdf12ceb6e0eeea8e8330e86847380ac1aed6deb50b9aa1f0.png,51,50-60,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.06996430062836202,Low (<10%),joint_stratum_round_robin,39,Terraref_1 | 50-60 | Ripening,51
695,877157db6f6769990be088227654ec97c9d517ed24c42c4c88c56f9bd756e5b6.png,18,10-20,authoritative_subset_annotations,NAU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.03452419908089133,Low (<10%),joint_stratum_round_robin,40,NAU_2 | 10-20 | Post-Flowering,18
186,223562d184e5c4e5d6d2a5c08f55732c7990c21ec699e60a72bb8fed51b6f925.png,41,40-50,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.042829997973019646,Low (<10%),joint_stratum_round_robin,41,Terraref_1 | 40-50 | Ripening,41
264,2ebc1edb8574427a21a245fbd141cd927ea3148b360c1c0c629b375067f805e9.png,30,30-40,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.002975295850950478,Low (<10%),joint_stratum_round_robin,42,KSU_3 | 30-40 | Filling,30
1094,d0422800563470ebe1f23d10babef371476f2c1ad513705b805bce0f7ded2038.png,44,40-50,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.051410862413060164,Low (<10%),joint_stratum_round_robin,43,UQ_10 | 40-50 | Filling-Ripening,44
783,95e5ad4cefbaa236cf8fdb6be8bb5c526e40a376378a1656662a25fbcb402262.png,96,80-100,authoritative_subset_annotations,UQ_9,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.2739470631322082,Medium (10-30%),joint_stratum_round_robin,44,UQ_9 | 80-100 | Filling-Ripening,96
1269,eed44e6495640aaced21ec027727583d6401851b2ea1c7a95f585877b1db82da.png,54,50-60,authoritative_subset_annotations,KSU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.1537836499680754,Medium (10-30%),joint_stratum_round_robin,45,KSU_2 | 50-60 | Post-Flowering,54
