image_id,file_name,instances,density_group,density_source,domain,domain_source,growth_stage,stage_source,mean_instance_occlusion,occlusion_group
1,00890d0d95e9c6841d98c4c5846f84e09a6f87e7224f0e05872f35856c803ebf.png,144,>100,authoritative_subset_annotations,UQ_9,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.07718759684446723,Low (<10%)
2,008e06b1c36c30ea5e466d3ad8c967d7728e517a46fd3340ee6212ba68b0713b.png,12,10-20,authoritative_subset_annotations,Terraref_2,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.0,Low (<10%)
3,00c381a39bd346465c707995a1ff7c584bff11a9d0044d1cefbc20e6e6c59827.png,85,80-100,authoritative_subset_annotations,Ukyoto_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.3580932744521821,High (>30%)
4,00d02bac9f6d659045dce01e9595dff7ed7210ede60ed4e4a605d5b3553cc943.png,0,0-10,authoritative_subset_annotations,Terraref_2,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.0,Low (<10%)
5,01225c4ab5e78e7f6a292e2648642d87853cb88dc639c0e16c286615f63d41bb.png,57,50-60,authoritative_subset_annotations,KSU_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.07980460540391694,Low (<10%)
6,01db0f2a94e02ddb59f03f319b0d4f639c2ec44ad87016ff214cce6023a97d35.png,53,50-60,authoritative_subset_annotations,KSU_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.08326416973810173,Low (<10%)
7,022407bc72793d309123a1929ea016f2566bd6d35fd47478fa14eea34d21534a.png,15,10-20,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.01279624893435635,Low (<10%)
8,024c2faa620413c4f44b84fa696bfd4fe3625b9b269e0523b1f5198af49f0572.png,7,0-10,authoritative_subset_annotations,Ukyoto_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.06973221858718041,Low (<10%)
9,0262ec495e29485287b54011122bf61d603ce42069c130a63fc0e6b93687b9ff.png,4,0-10,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.0,Low (<10%)
10,027cf145ad2929e897bbb884872a938a7dae3d57a074448b4cdb5079716e4bea.png,63,60-70,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.1381420691773808,Medium (10-30%)
11,02905a8afad36c95561e8248d44d68f39a497da465254c22b660519954f7cde8.png,39,30-40,authoritative_subset_annotations,NAU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.08877659614107325,Low (<10%)
12,02cf185f1a422fc2ed3fb44c4e3e3e9c170224fece828bb719816c6bc0defd34.png,43,40-50,authoritative_subset_annotations,KSU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.03163632500717922,Low (<10%)
13,032037a1be58cbb3d4bf5ae1d34721f4e88800b0c73b0d9dc965cc64e72fc4ef.png,75,70-80,authoritative_subset_annotations,KSU_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.11747483377551599,Medium (10-30%)
14,0347cdf7861e26d2690c8a7188ee86dd4cbd95ee5ad0f11b4fceefa1563e503d.png,30,30-40,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.028339662610762355,Low (<10%)
15,0353bb6f8fb67443ba7df7c2d7fd0f2f473b941ea188bfc67379e0222082dc7a.png,37,30-40,authoritative_subset_annotations,CIMMYT_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.024072294449698096,Low (<10%)
16,036ed63a054f84c91ad3d5816cd28acacc3c13717f46a01554fee710287e5ede.png,36,30-40,authoritative_subset_annotations,CIMMYT_3,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.14902359175231844,Medium (10-30%)
17,039bca92e351723d10be31ac0da6e04446280eca9551a8bafc452c71bb418be0.png,59,50-60,authoritative_subset_annotations,Ukyoto_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.24562114578216176,Medium (10-30%)
18,03a817338681af98bcf709b1ec9f8f1bd5ed2ef8838dea34b82c5a55cf90fc38.png,21,20-30,authoritative_subset_annotations,Terraref_2,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.02033746860809346,Low (<10%)
