annotation_id,image_id,occlusion_ratio,occlusion_group
1,1,0.05135730007336757,Low (<10%)
2,1,0.045714285714285714,Low (<10%)
3,1,0.0,Low (<10%)
4,1,0.48484848484848486,High (>30%)
5,1,0.22727272727272727,Medium (10-30%)
6,1,0.0,Low (<10%)
7,1,0.0,Low (<10%)
8,1,0.10553191489361702,Medium (10-30%)
9,1,0.0,Low (<10%)
10,1,0.0,Low (<10%)
11,1,0.0,Low (<10%)
12,1,0.0,Low (<10%)
13,1,0.0,Low (<10%)
14,1,0.0,Low (<10%)
15,1,0.0,Low (<10%)
16,1,0.058823529411764705,Low (<10%)
17,1,0.0,Low (<10%)
18,1,0.12413793103448276,Medium (10-30%)
19,1,0.12345679012345678,Medium (10-30%)
20,1,0.007050528789659225,Low (<10%)
21,1,0.0,Low (<10%)
22,1,0.0,Low (<10%)
23,1,0.0,Low (<10%)
24,1,0.00760233918128655,Low (<10%)
25,1,0.0,Low (<10%)
26,1,0.0,Low (<10%)
27,1,0.0,Low (<10%)
28,1,0.0,Low (<10%)
29,1,0.0,Low (<10%)
30,1,0.0,Low (<10%)
31,1,0.0,Low (<10%)
32,1,0.0,Low (<10%)
33,1,0.06536769327467001,Low (<10%)
34,1,0.20967741935483872,Medium (10-30%)
35,1,0.0,Low (<10%)
36,1,0.05291005291005291,Low (<10%)
37,1,0.013824884792626729,Low (<10%)
38,1,0.0,Low (<10%)
39,1,0.0,Low (<10%)
40,1,0.0,Low (<10%)
41,1,0.24485524938960587,Medium (10-30%)
42,1,0.0,Low (<10%)
43,1,0.07407407407407407,Low (<10%)
44,1,0.0,Low (<10%)
45,1,0.0,Low (<10%)
46,1,0.059113300492610835,Low (<10%)
47,1,0.0,Low (<10%)
48,1,0.0,Low (<10%)
49,1,0.0,Low (<10%)
50,1,0.04554079696394687,Low (<10%)
51,1,0.0,Low (<10%)
52,1,0.21568627450980393,Medium (10-30%)
53,1,0.25384615384615383,Medium (10-30%)
54,1,0.0,Low (<10%)
55,1,0.0,Low (<10%)
56,1,0.0,Low (<10%)
57,1,0.0,Low (<10%)
58,1,0.0,Low (<10%)
59,1,0.0,Low (<10%)
60,1,0.0,Low (<10%)
61,1,0.13178294573643412,Medium (10-30%)
62,1,0.0,Low (<10%)
63,1,0.0,Low (<10%)
64,1,0.0,Low (<10%)
65,1,0.0,Low (<10%)
66,1,0.0,Low (<10%)
67,1,0.0,Low (<10%)
68,1,0.0,Low (<10%)
69,1,0.0,Low (<10%)
70,1,0.0,Low (<10%)
71,1,0.0,Low (<10%)
72,1,0.0,Low (<10%)
73,1,0.11538461538461539,Medium (10-30%)
74,1,0.056795131845841784,Low (<10%)
75,1,0.0,Low (<10%)
76,1,0.0,Low (<10%)
77,1,0.0,Low (<10%)
78,1,0.0,Low (<10%)
79,1,0.0,Low (<10%)
80,1,0.31331747919143876,High (>30%)
81,1,0.0,Low (<10%)
82,1,0.0,Low (<10%)
83,1,0.0,Low (<10%)
84,1,0.0,Low (<10%)
85,1,0.0,Low (<10%)
86,1,0.0,Low (<10%)
87,1,0.0,Low (<10%)
88,1,0.15121951219512195,Medium (10-30%)
89,1,0.0,Low (<10%)
90,1,0.0,Low (<10%)
91,1,0.0,Low (<10%)
92,1,0.0,Low (<10%)
93,1,0.059748427672955975,Low (<10%)
94,1,0.0,Low (<10%)
95,1,0.28830409356725145,Medium (10-30%)
96,1,0.09388687868977337,Low (<10%)
97,1,0.006379585326953748,Low (<10%)
98,1,0.008898776418242492,Low (<10%)
99,1,0.0,Low (<10%)
100,1,0.0,Low (<10%)
101,1,0.0,Low (<10%)
102,1,0.0,Low (<10%)
103,1,0.0,Low (<10%)
104,1,0.0,Low (<10%)
105,1,0.0,Low (<10%)
106,1,0.0,Low (<10%)
107,1,0.19298245614035087,Medium (10-30%)
108,1,0.015853149770546516,Low (<10%)
109,1,0.0,Low (<10%)
110,1,0.13085764809902742,Medium (10-30%)
111,1,0.12235817575083426,Medium (10-30%)
112,1,0.0,Low (<10%)
