analysis,group,variant,images,instances,AP,AP50,AP75,TP,FP,FN,AI
density,0-10,Baseline,116,274,3.948014669109111,9.43637946640424,1.5538940052975423,39,135,235,0.07398784207994734
density,10-20,Baseline,74,1117,8.392306985024254,20.784291417884322,5.530281613619802,220,200,897,0.1568742737387575
density,20-30,Baseline,132,3321,18.579623353679196,43.931979879067896,12.30586377971743,1268,492,2053,0.32352259060469607
density,30-40,Baseline,209,7279,20.4731800616175,52.84029241660465,11.81611152033231,3567,1204,3712,0.4242809933670419
density,40-50,Baseline,237,10499,21.716403872294773,56.09100227164892,12.435804557966474,5414,1658,5085,0.44918296662458007
density,50-60,Baseline,184,10053,23.11083278847581,61.0465768954147,12.905391597666089,5724,1585,4329,0.5005514423685401
density,60-70,Baseline,153,9780,25.09174794056125,64.54976396380499,14.732419932721077,5868,1313,3912,0.5369509978015484
density,70-80,Baseline,103,7637,24.807603680337476,62.81890415263951,14.341912798680761,4492,1083,3145,0.5225296510351574
density,80-100,Baseline,92,8122,24.415596772314892,58.86421305130308,16.068445311480303,4583,1264,3539,0.49518402668905476
density,>100,Baseline,81,9349,18.673509138519464,47.595926515653346,11.61677682102933,4658,1744,4691,0.42709265620192416
density,0-10,ASWB,116,274,2.541913457826526,5.13674557998149,2.055929391452799,41,326,233,0.07433765430722834
density,10-20,ASWB,74,1117,8.7807779269964,20.64493981235253,6.505531196367445,232,224,885,0.17022558077597508
density,20-30,ASWB,132,3321,19.488333597225708,45.29952342678253,13.736234994813604,1288,473,2033,0.33457413954426196
density,30-40,ASWB,209,7279,24.613590616023888,57.37002962840697,17.76790192050514,3644,915,3635,0.4485440742823297
density,40-50,ASWB,237,10499,26.840112931586056,60.716982587214396,20.421200532868237,5613,1281,4886,0.479864290362243
density,50-60,ASWB,184,10053,30.023182414409426,66.56352128023917,23.124285127352543,5979,1180,4074,0.5370707373714957
density,60-70,ASWB,153,9780,33.42344987379724,70.35860113475661,27.860548408238085,6103,958,3677,0.5735893550002551
density,70-80,ASWB,103,7637,29.433812048021945,64.789541969465,22.664712441285236,4534,963,3103,0.5359623795036061
density,80-100,ASWB,92,8122,26.512043483239744,60.0976101381123,19.29674012542168,4597,1039,3525,0.5098118438403035
density,>100,ASWB,81,9349,19.061108237758322,46.411269471798086,12.14889229239815,4430,1535,4919,0.4142553700479032
domain,ARC_1,Baseline,30,1169,26.066998627262755,61.4955262197636,15.756457583548167,686,231,483,0.4751641982021638
domain,CIMMYT_1,Baseline,69,2867,16.45663883927306,47.75883825050285,7.523369198563892,1223,460,1644,0.3765145163151337
domain,CIMMYT_2,Baseline,77,2771,18.706713073491237,56.51250356602689,6.976198375061293,1565,654,1206,0.45768849187607175
domain,CIMMYT_3,Baseline,60,1619,22.387088233261487,59.31077286903423,12.07804654435419,956,280,663,0.5157948102192128
domain,Terraref_1,Baseline,144,3360,5.699408232800177,16.96940260987926,2.5678566792911433,385,283,2975,0.08293675095963779
domain,Terraref_2,Baseline,106,1274,2.995030570828253,9.621636022398974,0.7469157933190055,129,255,1145,0.052739043023939336
domain,NAU_2,Baseline,100,4918,28.82852282199581,74.76544735083458,15.327594931075664,3594,757,1324,0.6361270701060329
domain,NAU_3,Baseline,100,4596,37.07729263637449,82.74150710962623,27.557171262410485,3712,669,884,0.7067903283412846
domain,Ukyoto_1,Baseline,60,2670,30.972365867629126,59.756050341477284,29.69214823324699,1386,219,1284,0.444355559431942
domain,UQ_7,Baseline,17,1335,27.850669813088547,66.90865603116158,17.333754665417032,966,358,369,0.5734677901600551
domain,UQ_8,Baseline,41,4835,18.78492176518446,45.50819645163305,12.756425131294929,2350,955,2485,0.4130637155985057
domain,UQ_9,Baseline,33,2886,18.26007880254051,47.048536204019044,11.309004810358946,1388,562,1498,0.40775871615172815
domain,UQ_10,Baseline,106,8629,22.889912062962956,55.73421187611086,15.454139210555388,4737,1526,3892,0.47692804814707657
domain,UQ_11,Baseline,84,4345,13.951950700062179,40.1616767211943,6.638232786466558,1721,946,2624,0.3123180336813805
domain,KSU_1,Baseline,100,6435,30.92554316484034,70.64502620429431,21.912855440041362,3897,415,2538,0.5675057904029537
domain,KSU_2,Baseline,100,5302,25.709899527371764,66.17084162039465,14.133949186366618,3155,630,2147,0.5342646309826428
domain,KSU_3,Baseline,95,5217,17.39123913431012,56.07723424227957,5.520766144504521,2696,872,2521,0.4244032297006541
domain,KSU_4,Baseline,60,3285,12.581884726554424,42.33703811624089,3.3420094507752665,1302,613,1983,0.3306418249526814
domain,ARC_1,MSIA,30,1169,24.58116820358506,57.75009926362489,15.803084454634902,634,243,535,0.4279643713922263
domain,CIMMYT_1,MSIA,69,2867,17.97735768286216,49.38014500532768,8.657026140387147,1328,551,1539,0.39865438542246673
domain,CIMMYT_2,MSIA,77,2771,26.55907471523443,67.69975070558888,15.60120555330605,1755,484,1016,0.5257347537080393
domain,CIMMYT_3,MSIA,60,1619,25.311589787199484,61.999986021070356,16.013703321427013,981,259,638,0.5391288275139267
domain,Terraref_1,MSIA,144,3360,4.408677550890613,12.997360661069953,2.0247498933212085,265,177,3095,0.06005916268808076
domain,Terraref_2,MSIA,106,1274,2.16144789727071,6.806769704383357,0.5745463661596817,105,268,1169,0.04278398637967952
