module_added,context,resulting_variant,delta_AP,delta_AP_reported_1dp,delta_AP75,delta_AP75_reported_1dp
ASWB,Baseline,ASWB,3.619088,3.6,5.473666,5.4
ASWB,MSIA,ASWB+MSIA,3.344993,3.4,4.959216,5.0
ASWB,UGDR,ASWB+UGDR,4.679685,4.7,6.62614,6.6
ASWB,MSIA+UGDR,ASWB+MSIA+UGDR,3.853625,3.8,5.282176,5.3
MSIA,Baseline,MSIA,3.346691,3.3,4.540765,4.5
MSIA,ASWB,ASWB+MSIA,3.072596,3.1,4.026315,4.1
MSIA,UGDR,MSIA+UGDR,1.38458,1.4,2.182655,2.2
MSIA,ASWB+UGDR,ASWB+MSIA+UGDR,0.55852,0.5,0.838691,0.9
UGDR,Baseline,UGDR,4.806776,4.8,7.232663,7.2
UGDR,ASWB,ASWB+UGDR,5.867373,5.9,8.385137,8.4
UGDR,MSIA,MSIA+UGDR,2.844665,2.9,4.874553,4.9
UGDR,ASWB+MSIA,ASWB+MSIA+UGDR,3.353297,3.3,5.197512,5.2
