epoch,ASWB_given_MSIA_UGDR_AP,ASWB_given_MSIA_UGDR_AP_ma5,ASWB_given_MSIA_UGDR_AP75,ASWB_given_MSIA_UGDR_AP75_ma5,MSIA_given_ASWB_UGDR_AP,MSIA_given_ASWB_UGDR_AP_ma5,MSIA_given_ASWB_UGDR_AP75,MSIA_given_ASWB_UGDR_AP75_ma5,UGDR_given_ASWB_MSIA_AP,UGDR_given_ASWB_MSIA_AP_ma5,UGDR_given_ASWB_MSIA_AP75,UGDR_given_ASWB_MSIA_AP75_ma5
0,0.368176,0.368176,0.38631,0.38631,0.693802,0.693802,0.582256,0.582256,0.516941,0.516941,0.404221,0.404221
1,-0.127128,0.120524,0.061674,0.223992,2.329918,1.51186,2.16979,1.376023,2.135084,1.326012,2.033664,1.218943
2,1.15016,0.463736,0.696761,0.381582,3.647627,2.223783,3.163702,1.971916,0.765029,1.139018,0.915932,1.117939
3,-0.807106,0.146025,-0.651428,0.123329,0.167712,1.709765,0.170156,1.521476,1.932867,1.33748,2.56049,1.478577
4,1.173839,0.351588,0.887913,0.276246,0.343975,1.436607,0.061838,1.229548,2.128051,1.495594,2.886738,1.760209
5,-0.188592,0.240234,-0.386732,0.121638,-1.376788,1.022489,-1.661058,0.780885,3.793888,2.150984,4.697354,2.618836
6,2.735496,0.812759,3.231534,0.75561,0.560495,0.668604,0.907983,0.528524,3.711965,2.46636,5.182392,3.248581
7,-0.680696,0.446588,-0.889403,0.438377,-0.8294,-0.226801,-1.003218,-0.30486,4.876421,3.288638,6.121773,4.28975
8,-0.276154,0.552778,0.087238,0.58611,-0.054031,-0.27115,0.101104,-0.31867,4.014219,3.704909,5.563532,4.890358
9,-0.259541,0.266102,-0.459669,0.316594,-0.971013,-0.534148,-0.931542,-0.517346,4.289499,4.137198,6.400619,5.593134
10,-0.321407,0.23954,-0.705413,0.252857,-1.259683,-0.510727,-1.401109,-0.465356,4.335802,4.245581,6.414255,5.936514
11,0.808243,-0.145911,0.707063,-0.252037,-1.12075,-0.846976,-1.100534,-0.86706,4.714029,4.445994,6.694412,6.238918
12,0.253116,0.040852,0.138987,-0.046359,-0.45493,-0.772081,-0.360435,-0.738503,4.762348,4.423179,6.909911,6.396546
