epoch,Baseline_AP,Baseline_AP75,ASWB_AP,ASWB_AP75,MSIA_AP,MSIA_AP75,UGDR_AP,UGDR_AP75,ASWB_MSIA_AP,ASWB_MSIA_AP75,ASWB_UGDR_AP,ASWB_UGDR_AP75,MSIA_UGDR_AP,MSIA_UGDR_AP75,Ours_AP,Ours_AP75
0,0.732702,0.275779,1.266654,0.668972,1.383426,1.069422,2.384238,0.657962,1.069597,0.343261,0.892735,0.165226,1.218361,0.361172,1.586537,0.747482
1,5.667512,3.038705,2.883767,1.631853,4.082467,1.899286,8.720974,6.78217,4.481436,2.58738,4.286602,2.451255,6.743647,4.55937,6.61652,4.621045
2,7.681426,5.238379,7.13419,4.369276,10.172367,7.187207,11.043822,9.06581,11.889554,8.958303,9.006955,6.710533,11.504423,9.177474,12.654582,9.874235
3,9.414362,5.99824,9.086843,6.189544,11.35858,8.443512,12.461373,9.707405,11.371704,8.247277,13.136859,10.637611,14.111678,11.459194,13.304571,10.807766
4,14.529266,10.688737,13.051396,9.345216,10.730878,6.769808,16.563551,13.259121,13.441452,9.525481,15.225528,12.350382,14.395664,11.524307,15.569503,12.41222
5,13.828821,9.630711,14.5968,10.345263,14.840924,10.475975,16.421131,13.373913,13.837357,9.356262,19.008033,15.714675,17.819838,14.440348,17.631245,14.053616
6,15.135938,10.22967,16.097294,11.114538,12.942956,8.293098,18.03272,14.385842,16.596264,11.999782,19.747734,16.274191,17.572733,13.95064,20.308229,17.182174
7,16.385236,11.716227,16.56971,11.655856,17.248376,12.172349,19.345618,16.202092,15.368362,10.443415,21.074183,17.568406,20.92548,17.454591,20.244783,16.565188
8,16.166162,10.591907,18.033363,12.930789,18.079352,12.576241,20.351481,16.875368,17.069536,12.075739,21.137786,17.538167,21.359908,17.552034,21.083755,17.639272
9,16.998364,11.553407,18.078086,12.756048,18.247494,13.052581,21.669295,18.128823,17.380472,11.466199,22.640984,18.79836,21.929511,18.326487,21.669971,17.866818
10,18.578367,13.054015,18.492187,12.936351,18.707693,13.469605,21.783295,18.144081,18.043364,12.091282,23.638849,19.906647,22.700573,19.210951,22.379166,18.505538
11,18.216647,12.336044,19.743162,14.072565,18.506351,12.869474,22.616785,18.943536,18.401516,12.65871,24.236295,20.453656,22.307301,18.646059,23.115545,19.353122
12,18.349438,12.472465,19.265682,13.298834,19.452644,13.593953,23.332861,19.890103,18.858562,12.914718,24.07584,20.185064,23.367794,19.685643,23.62091,19.824629
13,18.842211,12.954702,19.223804,13.140861,19.814211,14.088819,23.417348,19.959448,19.241511,13.227258,24.341431,20.411488,23.893036,20.15638,24.188975,20.377104
14,18.793926,12.696571,19.539771,13.471563,19.622462,13.692609,23.811983,20.229903,19.434628,13.266539,24.63188,20.528406,24.199592,20.305612,24.180945,20.319449
15,18.816803,12.716928,19.667779,13.511405,19.602,13.483464,23.987119,20.186052,19.62286,13.287188,24.812885,20.979007,23.970364,20.027956,24.549946,20.714001
16,19.027663,12.98461,19.79796,13.566947,19.760496,13.429772,24.289362,20.418843,19.928127,13.679981,25.028196,21.117164,24.196094,20.09971,24.577561,20.781711
17,19.238212,13.128378,19.831944,13.486763,19.9925,13.714709,24.44608,20.731148,20.023068,13.613494,25.168716,21.239569,24.410289,20.232394,24.737197,20.577049
18,19.461495,13.348145,19.854306,13.591235,20.072666,13.844229,24.57848,20.876959,20.217237,13.771609,25.33838,21.318818,24.597741,20.485415,24.833629,20.892202
19,19.542059,13.385703,19.779867,13.419854,20.101311,13.8309,24.559297,20.811441,20.220813,13.691953,25.438389,21.387717,24.575352,20.550653,25.002894,20.956723
20,19.579462,13.425003,19.744211,13.325116,20.144634,13.789257,24.585939,20.784565,20.348903,13.825494,25.541156,21.452568,24.685113,20.600412,25.063705,20.958266
21,19.698068,13.516498,19.875403,13.387067,20.180347,13.762204,24.60836,20.766283,20.435965,13.858886,25.592642,21.533945,24.778629,20.662478,25.139307,20.998725
22,19.708555,13.492637,19.878096,13.406646,20.162974,13.698083,24.654845,20.763376,20.604744,13.933821,25.655931,21.732377,24.830732,20.709357,25.25705,21.118599
23,19.775621,13.657408,19.953598,13.451577,20.214179,13.746331,24.706362,20.782066,20.678848,14.016906,25.759851,21.779427,24.864011,20.765371,25.416576,21.23422
24,19.961828,13.766075,19.980311,13.474612,20.312851,13.834236,24.78524,20.815778,20.765275,14.028619,25.857154,21.856752,24.962422,20.807336,25.497374,21.266845
25,20.028027,13.778136,20.195978,13.567663,20.279069,13.655468,24.867892,20.877647,20.860103,14.08196,25.981911,21.935835,25.006947,20.78316,25.606921,21.354458
26,20.051839,13.763008,20.330033,13.808166,20.325484,13.650294,24.821513,20.868518,20.95175,14.094094,26.176566,22.098786,25.010473,20.757187,25.709487,21.420968
27,20.174095,13.838953,20.424334,13.86344,20.332344,13.64839,24.90687,20.83692,20.983152,14.105566,26.224189,22.150651,25.169645,20.781387,25.777027,21.644836
28,20.245699,13.820141,20.477442,13.930588,20.406965,13.660868,24.912787,20.83748,21.113968,14.184463,26.361941,22.248236,25.239152,20.751255,25.77631,21.664151
29,20.32179,13.830286,20.54241,13.953335,20.476428,13.702442,24.900157,20.844787,21.234506,14.400745,26.552633,22.387006,25.277708,20.786107,25.882409,21.710683
